Lineup,Players,Salary,Score
1,"Nikola Jokic, Tyrese Maxey, Pascal Siakam, Bennedict Mathurin, Nickeil Alexander-Walker, Dominick Barlow, Ryan Kalkbrenner, Mouhamed Gueye",49700,4.985092345868837
2,"Nikola Jokic, Pascal Siakam, Bennedict Mathurin, VJ Edgecombe, Tre Jones, Nickeil Alexander-Walker, Dominick Barlow, Mouhamed Gueye",47800,5.0004146358131445
3,"Shai Gilgeous-Alexander, Pascal Siakam, Aaron Gordon, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Dominick Barlow, Mouhamed Gueye",49200,5.055567805628828
4,"Nikola Jokic, Shai Gilgeous-Alexander, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Cedric Coward, Dominick Barlow, Mouhamed Gueye",50000,5.0570335901626535
5,"Nikola Jokic, Shai Gilgeous-Alexander, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Dominick Barlow, Jarace Walker, Mouhamed Gueye",48900,5.0093187069365825
6,"Nikola Jokic, Shai Gilgeous-Alexander, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Dominick Barlow, Ryan Kalkbrenner, Mouhamed Gueye",49100,5.057870424867554
7,"Nikola Jokic, Pascal Siakam, Bennedict Mathurin, VJ Edgecombe, Tre Jones, Nickeil Alexander-Walker, Cedric Coward, Mouhamed Gueye",48600,4.9452287129383885
8,"Nikola Jokic, Tyrese Maxey, Aaron Gordon, Bennedict Mathurin, VJ Edgecombe, Dominick Barlow, Ryan Kalkbrenner, Mouhamed Gueye",50000,4.9142505133781516
9,"Nikola Jokic, Shai Gilgeous-Alexander, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Ben Sheppard, Dominick Barlow, Mouhamed Gueye",49500,4.9920572888177634
10,"Nikola Jokic, Pascal Siakam, Bennedict Mathurin, VJ Edgecombe, Ajay Mitchell, Nickeil Alexander-Walker, Dominick Barlow, Mouhamed Gueye",47900,4.981943419155735
11,"Nikola Jokic, Shai Gilgeous-Alexander, Aaron Gordon, Bennedict Mathurin, Nickeil Alexander-Walker, Dominick Barlow, Ryan Kalkbrenner, Mouhamed Gueye",50000,4.991782146665013
12,"Shai Gilgeous-Alexander, Pascal Siakam, Aaron Gordon, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Ryan Kalkbrenner, Mouhamed Gueye",49100,5.001218717458972
13,"Shai Gilgeous-Alexander, Pascal Siakam, Aaron Gordon, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Cedric Coward, Mouhamed Gueye",50000,5.000381882754072
14,"Nikola Jokic, Shai Gilgeous-Alexander, Aaron Gordon, Bennedict Mathurin, Nickeil Alexander-Walker, Dominick Barlow, Jarace Walker, Mouhamed Gueye",49800,4.943230428734042
15,"Shai Gilgeous-Alexander, Pascal Siakam, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Cedric Coward, Dominick Barlow, Mouhamed Gueye",46600,4.948365918074991
16,"Shai Gilgeous-Alexander, Pascal Siakam, Jamal Murray, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Dominick Barlow, Mouhamed Gueye",49500,4.980023446084083
17,"Nikola Jokic, Pascal Siakam, Aaron Gordon, Bennedict Mathurin, Tre Jones, Nickeil Alexander-Walker, Dominick Barlow, Mouhamed Gueye",48700,4.934326357610603
18,"Nikola Jokic, Pascal Siakam, Bennedict Mathurin, VJ Edgecombe, Tre Jones, Nickeil Alexander-Walker, Ryan Kalkbrenner, Mouhamed Gueye",47700,4.94606554764329
19,"Nikola Jokic, Shai Gilgeous-Alexander, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Jonas Valanciunas, Dominick Barlow, Mouhamed Gueye",49900,4.946348568394221
20,"Nikola Jokic, Jamal Murray, Aaron Gordon, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Dominick Barlow, Mouhamed Gueye",49100,4.952479078664455
21,"Tyrese Maxey, Pascal Siakam, Aaron Gordon, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Dominick Barlow, Mouhamed Gueye",47500,4.934193865610222
22,"Nikola Jokic, Shai Gilgeous-Alexander, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Cedric Coward, Jarace Walker, Mouhamed Gueye",49700,4.9541327840618266
23,"Nikola Jokic, Tyrese Maxey, Pascal Siakam, Bennedict Mathurin, Nickeil Alexander-Walker, Dominick Barlow, Jarace Walker, Mouhamed Gueye",49500,4.936540627937866
24,"Nikola Jokic, Pascal Siakam, Bennedict Mathurin, VJ Edgecombe, Collin Sexton, Nickeil Alexander-Walker, Dominick Barlow, Mouhamed Gueye",48400,4.970196423927695
25,"Shai Gilgeous-Alexander, Pascal Siakam, Aaron Gordon, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Jarace Walker, Mouhamed Gueye",48900,4.952666999528001
26,"Nikola Jokic, Pascal Siakam, Bennedict Mathurin, VJ Edgecombe, Ajay Mitchell, Nickeil Alexander-Walker, Cedric Coward, Mouhamed Gueye",48700,4.926757496280979
27,"Shai Gilgeous-Alexander, Tyrese Maxey, Pascal Siakam, Bennedict Mathurin, Nickeil Alexander-Walker, Cedric Coward, Dominick Barlow, Mouhamed Gueye",49600,4.8971157393611335
28,"Nikola Jokic, Pascal Siakam, Aaron Gordon, Bennedict Mathurin, Tre Jones, Nickeil Alexander-Walker, Cedric Coward, Mouhamed Gueye",49500,4.879140434735847
29,"Shai Gilgeous-Alexander, Tyrese Maxey, Pascal Siakam, Bennedict Mathurin, Nickeil Alexander-Walker, Dominick Barlow, Ryan Kalkbrenner, Mouhamed Gueye",48700,4.897952574066034
30,"Nikola Jokic, Tyrese Maxey, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Cedric Coward, Dominick Barlow, Mouhamed Gueye",48300,4.935659650144047
31,"Nikola Jokic, Shai Gilgeous-Alexander, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Tidjane Salaun, Dominick Barlow, Mouhamed Gueye",49500,4.930132954276178
32,"Nikola Jokic, Pascal Siakam, Jamal Murray, Bennedict Mathurin, VJ Edgecombe, Dominick Barlow, Ryan Kalkbrenner, Mouhamed Gueye",49600,4.938552193567153
33,"Nikola Jokic, Pascal Siakam, Paolo Banchero, Bennedict Mathurin, Tre Jones, Nickeil Alexander-Walker, Dominick Barlow, Mouhamed Gueye",49900,4.926395738656872
34,"Shai Gilgeous-Alexander, Pascal Siakam, Aaron Gordon, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Ben Sheppard, Mouhamed Gueye",49500,4.9354055814091815
35,"Nikola Jokic, Shai Gilgeous-Alexander, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Ryan Kalkbrenner, Jarace Walker, Mouhamed Gueye",48800,4.954969618766728
36,"Shai Gilgeous-Alexander, Pascal Siakam, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Dominick Barlow, Ryan Kalkbrenner, Mouhamed Gueye",45700,4.949202752779891
37,"Nikola Jokic, Shai Gilgeous-Alexander, Bennedict Mathurin, Kevin Huerter, Nickeil Alexander-Walker, Cedric Coward, Dominick Barlow, Mouhamed Gueye",48400,4.846937679480469
38,"Nikola Jokic, Pascal Siakam, Bennedict Mathurin, VJ Edgecombe, Collin Sexton, Nickeil Alexander-Walker, Ryan Kalkbrenner, Mouhamed Gueye",48300,4.9158473357578405
39,"Shai Gilgeous-Alexander, Pascal Siakam, Bennedict Mathurin, VJ Edgecombe, Tre Jones, Nickeil Alexander-Walker, Dominick Barlow, Mouhamed Gueye",46800,4.913274864010341
40,"Shai Gilgeous-Alexander, Pascal Siakam, Jamal Murray, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Ryan Kalkbrenner, Mouhamed Gueye",49400,4.925674357914227
41,"Shai Gilgeous-Alexander, Pascal Siakam, Chet Holmgren, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Ryan Kalkbrenner, Mouhamed Gueye",50000,4.950262408406507
42,"Nikola Jokic, Pascal Siakam, Aaron Gordon, Bennedict Mathurin, Ajay Mitchell, Nickeil Alexander-Walker, Dominick Barlow, Mouhamed Gueye",48800,4.915855140953194
43,"Nikola Jokic, Shai Gilgeous-Alexander, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Collin Gillespie, Dominick Barlow, Mouhamed Gueye",49200,4.94327290975654
44,"Nikola Jokic, Shai Gilgeous-Alexander, Bennedict Mathurin, VJ Edgecombe, Tre Jones, Nickeil Alexander-Walker, Jarace Walker, Mouhamed Gueye",49900,4.919041729997177
45,"Nikola Jokic, Tyrese Maxey, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Dominick Barlow, Ryan Kalkbrenner, Mouhamed Gueye",47400,4.9364964848489485
46,"Shai Gilgeous-Alexander, Pascal Siakam, Paolo Banchero, Bennedict Mathurin, VJ Edgecombe, Dominick Barlow, Ryan Kalkbrenner, Mouhamed Gueye",49500,4.9190261623553635
47,"Nikola Jokic, Jamal Murray, Aaron Gordon, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Ryan Kalkbrenner, Mouhamed Gueye",49000,4.8981299904946
48,"Nikola Jokic, Pascal Siakam, Paolo Banchero, Bennedict Mathurin, Ajay Mitchell, Nickeil Alexander-Walker, Dominick Barlow, Mouhamed Gueye",50000,4.907924521999464
49,"Shai Gilgeous-Alexander, Tyrese Maxey, Aaron Gordon, Bennedict Mathurin, VJ Edgecombe, Nickeil Alexander-Walker, Dominick Barlow, Mouhamed Gueye",49900,4.955721765895081
50,"Nikola Jokic, Pascal Siakam, Aaron Gordon, Bennedict Mathurin, Tre Jones, Nickeil Alexander-Walker, Ryan Kalkbrenner, Mouhamed Gueye",48600,4.879977269440748
51,"Nikola Jokic, Shai Gilgeous-Alexander, Bennedict Mathurin, VJ Edgecombe, Tre Jones, Dominick Barlow, Ryan Kalkbrenner, Mouhamed Gueye",49300,4.89333151177827
52,"Nikola Jokic, Pascal Siakam, Jamal Murray, Bennedict Mathurin, VJ Edgecombe, Dominick Barlow, Jarace Walker, Mouhamed Gueye",49400,4.890000475636182
