Lineup,Players,Salary,Score
1,"Jevon Carter, Julian Strawther, Spencer Jones, Aaron Gordon, N'Faly Dante, Vit Krejci, Zeke Nnaji, Nikola Jokic",36500,3.553502836048313
2,"Jevon Carter, Julian Strawther, Spencer Jones, Aaron Gordon, Nikola Jokic, Vit Krejci, Xavier Tillman, Zeke Nnaji",36900,3.548888999384448
3,"Jevon Carter, Julian Strawther, Spencer Jones, Aaron Gordon, N'Faly Dante, Rayan Rupert, Zeke Nnaji, Nikola Jokic",36300,3.5483162171568603
4,"Jevon Carter, Julian Strawther, Spencer Jones, Aaron Gordon, Nikola Jokic, Rayan Rupert, Xavier Tillman, Zeke Nnaji",36700,3.543702380492995
5,"Jevon Carter, Julian Strawther, Spencer Jones, Aaron Gordon, N'Faly Dante, Tim Hardaway Jr., Zeke Nnaji, Nikola Jokic",37200,3.541673550102492
6,"Jevon Carter, Julian Strawther, Spencer Jones, Xavier Tillman, N'Faly Dante, Vit Krejci, Zeke Nnaji, Nikola Jokic",33100,3.5396584649097034
7,"Jevon Carter, Julian Strawther, Spencer Jones, Aaron Gordon, Nikola Jokic, Tim Hardaway Jr., Xavier Tillman, Zeke Nnaji",37600,3.5370597134386257
8,"Jevon Carter, Julian Strawther, Spencer Jones, Xavier Tillman, N'Faly Dante, Rayan Rupert, Zeke Nnaji, Nikola Jokic",32900,3.5344718460182505
9,"Jevon Carter, Julian Strawther, Spencer Jones, Aaron Gordon, N'Faly Dante, Luke Kennard, Zeke Nnaji, Nikola Jokic",37000,3.534433071247369
10,"Jevon Carter, Julian Strawther, Spencer Jones, Aaron Gordon, Nikola Jokic, Luke Kennard, Xavier Tillman, Zeke Nnaji",37400,3.5298192345835027
11,"Jevon Carter, Julian Strawther, Spencer Jones, Xavier Tillman, N'Faly Dante, Tim Hardaway Jr., Zeke Nnaji, Nikola Jokic",33800,3.5278291789638816
12,"Jevon Carter, Julian Strawther, Spencer Jones, Xavier Tillman, N'Faly Dante, Luke Kennard, Zeke Nnaji, Nikola Jokic",33600,3.5205887001087586
13,"Cade Cunningham, Jevon Carter, Julian Strawther, Aaron Gordon, N'Faly Dante, Spencer Jones, Zeke Nnaji, Nikola Jokic",43200,3.519467624962427
14,"Cade Cunningham, Jevon Carter, Julian Strawther, Aaron Gordon, Nikola Jokic, Spencer Jones, Xavier Tillman, Zeke Nnaji",43600,3.514853788298561
