Lineup,Players,Salary,Score
1,"N'Faly Dante, Aaron Holiday, Julian Strawther, Jett Howard, Zeke Nnaji, Thomas Bryant, Garrett Temple, Ja'Kobe Walter",24200,2.8526656335337153
2,"DaRon Holmes II, Luke Travers, Bryce McGowens, Michael Porter Jr., Jordan Goodwin, Lachlan Olbrich, Nikola Djurisic, Vit Krejci",28500,2.785517599193936
3,"N'Faly Dante, Aaron Holiday, Julian Strawther, Jett Howard, Zeke Nnaji, Thomas Bryant, Garrett Temple, Ja'Kobe Walter",24200,2.8526656335337153
4,"DaRon Holmes II, Luke Travers, Bryce McGowens, Michael Porter Jr., Jordan Goodwin, Lachlan Olbrich, Nikola Djurisic, Vit Krejci",28500,2.785517599193936
5,"N'Faly Dante, Aaron Holiday, Julian Strawther, Jett Howard, Zeke Nnaji, Thomas Bryant, Garrett Temple, Ja'Kobe Walter",24200,2.8526656335337153
6,"DaRon Holmes II, Luke Travers, Bryce McGowens, Michael Porter Jr., Jordan Goodwin, Lachlan Olbrich, Nikola Djurisic, Vit Krejci",28500,2.785517599193936
7,"N'Faly Dante, Aaron Holiday, Julian Strawther, Jett Howard, Zeke Nnaji, Thomas Bryant, Garrett Temple, Ja'Kobe Walter",24200,2.8526656335337153
8,"DaRon Holmes II, Luke Travers, Bryce McGowens, Michael Porter Jr., Jordan Goodwin, Lachlan Olbrich, Nikola Djurisic, Vit Krejci",28500,2.785517599193936
9,"N'Faly Dante, Aaron Holiday, Julian Strawther, Jett Howard, Zeke Nnaji, Thomas Bryant, Garrett Temple, Ja'Kobe Walter",24200,2.8526656335337153
10,"DaRon Holmes II, Luke Travers, Bryce McGowens, Michael Porter Jr., Jordan Goodwin, Lachlan Olbrich, Nikola Djurisic, Vit Krejci",28500,2.785517599193936
11,"N'Faly Dante, Aaron Holiday, Julian Strawther, Jett Howard, Zeke Nnaji, Thomas Bryant, Garrett Temple, Ja'Kobe Walter",24200,2.8526656335337153
12,"DaRon Holmes II, Luke Travers, Bryce McGowens, Michael Porter Jr., Jordan Goodwin, Lachlan Olbrich, Nikola Djurisic, Vit Krejci",28500,2.785517599193936
13,"N'Faly Dante, Aaron Holiday, Julian Strawther, Jett Howard, Zeke Nnaji, Thomas Bryant, Garrett Temple, Ja'Kobe Walter",24200,2.8526656335337153
14,"DaRon Holmes II, Luke Travers, Bryce McGowens, Michael Porter Jr., Jordan Goodwin, Lachlan Olbrich, Nikola Djurisic, Vit Krejci",28500,2.785517599193936
