Lineup,Players,Salary,Score
1,"Paolo Banchero, Julius Randle, Amen Thompson, Jonathan Kuminga, Jaden McDaniels, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson",49700,4.953687819142523
2,"Paolo Banchero, Julius Randle, Franz Wagner, Amen Thompson, Jabari Smith Jr., Ryan Kalkbrenner, Tari Eason, Quenton Jackson",49700,4.854783455103066
3,"Paolo Banchero, Julius Randle, Amen Thompson, Rudy Gobert, Jaden McDaniels, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson",49600,5.001387435433912
4,"Paolo Banchero, Julius Randle, Franz Wagner, Rudy Gobert, Jaden McDaniels, Anthony Black, Ryan Kalkbrenner, Quenton Jackson",49800,4.9342089212582465
5,"Julius Randle, Miles Bridges, Franz Wagner, Amen Thompson, Jaden McDaniels, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson",49500,4.936536500210398
6,"Julius Randle, Miles Bridges, Franz Wagner, Amen Thompson, Rudy Gobert, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson",49900,4.954304468414895
7,"Paolo Banchero, Julius Randle, Amen Thompson, Rudy Gobert, Jaden McDaniels, Jabari Smith Jr., Anthony Black, Quenton Jackson",49900,4.945781427993707
8,"Paolo Banchero, Julius Randle, Miles Bridges, Rudy Gobert, Jabari Smith Jr., Anthony Black, Ryan Kalkbrenner, Quenton Jackson",49300,4.938752835041164
9,"Paolo Banchero, Julius Randle, Amen Thompson, Rudy Gobert, Jaden McDaniels, Anthony Black, Ryan Kalkbrenner, Quenton Jackson",49400,4.94319537240653
10,"Paolo Banchero, Miles Bridges, Franz Wagner, Amen Thompson, Jaden McDaniels, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson",49900,4.935262710111571
11,"Paolo Banchero, Julius Randle, Amen Thompson, Rudy Gobert, Draymond Green, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson",49600,4.898804301463494
12,"Julius Randle, Miles Bridges, Amen Thompson, Jonathan Kuminga, Rudy Gobert, Jaden McDaniels, Jabari Smith Jr., Quenton Jackson",49800,4.878105266222571
13,"Paolo Banchero, Julius Randle, Miles Bridges, Jaden McDaniels, Jabari Smith Jr., Anthony Black, Ryan Kalkbrenner, Quenton Jackson",48900,4.920984866836667
14,"Julius Randle, Miles Bridges, Franz Wagner, Amen Thompson, Jonathan Kuminga, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson",50000,4.906604852123507
15,"Paolo Banchero, Julius Randle, Miles Bridges, Rudy Gobert, Jaden McDaniels, Anthony Black, Ryan Kalkbrenner, Quenton Jackson",49900,4.946514366382532
16,"Paolo Banchero, Julius Randle, Miles Bridges, Jonathan Kuminga, Jabari Smith Jr., Anthony Black, Ryan Kalkbrenner, Quenton Jackson",49400,4.891053218749776
17,"Paolo Banchero, Miles Bridges, Amen Thompson, Rudy Gobert, Jaden McDaniels, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson",48600,4.89641553728209
18,"Paolo Banchero, Julius Randle, Amen Thompson, Rudy Gobert, Jaden McDaniels, Wendell Carter Jr., Ryan Kalkbrenner, Quenton Jackson",49900,4.913357237786573
19,"Paolo Banchero, Julius Randle, Amen Thompson, Jonathan Kuminga, Rudy Gobert, Anthony Black, Ryan Kalkbrenner, Quenton Jackson",49900,4.913263724319639
20,"Paolo Banchero, Julius Randle, Franz Wagner, Rudy Gobert, Jabari Smith Jr., Anthony Black, Ryan Kalkbrenner, Quenton Jackson",49200,4.926447389916878
21,"Pascal Siakam, Julius Randle, Amen Thompson, Rudy Gobert, Jaden McDaniels, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson",50000,4.889419939629253
22,"Paolo Banchero, Julius Randle, Amen Thompson, Rudy Gobert, Jaden McDaniels, Naz Reid, Ryan Kalkbrenner, Quenton Jackson",49800,4.901848065647194
23,"Julius Randle, Miles Bridges, Amen Thompson, Rudy Gobert, Jaden McDaniels, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson",48200,4.897689327380917
24,"Paolo Banchero, Julius Randle, Amen Thompson, Jaden McDaniels, Jabari Smith Jr., Anthony Black, Ryan Kalkbrenner, Quenton Jackson",48400,4.917665872860666
25,"Julius Randle, Miles Bridges, Franz Wagner, Amen Thompson, Rudy Gobert, Anthony Black, Ryan Kalkbrenner, Quenton Jackson",49700,4.896112405387513
26,"Julius Randle, Miles Bridges, Amen Thompson, Jonathan Kuminga, Rudy Gobert, Jaden McDaniels, Ryan Kalkbrenner, Quenton Jackson",49300,4.875519210635393
27,"Paolo Banchero, Julius Randle, Amen Thompson, Jonathan Kuminga, Jabari Smith Jr., Anthony Black, Ryan Kalkbrenner, Quenton Jackson",48900,4.887734224773774
28,"Paolo Banchero, Julius Randle, Franz Wagner, Jaden McDaniels, Jabari Smith Jr., Anthony Black, Ryan Kalkbrenner, Quenton Jackson",48800,4.908679421712381
29,"Julius Randle, Franz Wagner, Amen Thompson, Jonathan Kuminga, Rudy Gobert, Jaden McDaniels, Ryan Kalkbrenner, Quenton Jackson",49200,4.863213765511107
30,"Paolo Banchero, Julius Randle, Miles Bridges, Rudy Gobert, Naz Reid, Anthony Black, Ryan Kalkbrenner, Quenton Jackson",49500,4.839213465254446
31,"Paolo Banchero, Miles Bridges, Franz Wagner, Amen Thompson, Draymond Green, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson",49900,4.832679576141155
32,"Paolo Banchero, Julius Randle, Franz Wagner, Jonathan Kuminga, Jabari Smith Jr., Anthony Black, Ryan Kalkbrenner, Quenton Jackson",49300,4.87874777362549
33,"Paolo Banchero, Miles Bridges, Amen Thompson, Jonathan Kuminga, Rudy Gobert, Jaden McDaniels, Ryan Kalkbrenner, Quenton Jackson",49700,4.874245420536567
34,"Paolo Banchero, Julius Randle, Amen Thompson, Rudy Gobert, Jabari Smith Jr., Anthony Black, Ryan Kalkbrenner, Quenton Jackson",48800,4.935433841065162
35,"Paolo Banchero, Julius Randle, Miles Bridges, Jonathan Kuminga, Jaden McDaniels, Anthony Black, Ryan Kalkbrenner, Quenton Jackson",50000,4.8988147500911445
36,"Paolo Banchero, Julius Randle, Franz Wagner, Jonathan Kuminga, Jaden McDaniels, Anthony Black, Ryan Kalkbrenner, Quenton Jackson",49900,4.886509304966857
37,"Paolo Banchero, Julius Randle, Amen Thompson, Rudy Gobert, Naz Reid, Jabari Smith Jr., Ryan Kalkbrenner, Quenton Jackson",49200,4.894086534305825
38,"Paolo Banchero, Julius Randle, Jonathan Kuminga, Rudy Gobert, Jaden McDaniels, Jabari Smith Jr., Anthony Black, Quenton Jackson",49100,4.850248187724553
