Lineup,Players,Salary,Score
1,"Jaylen Clark, Kawhi Leonard, AJ Johnson, Anthony Gill, Giannis Antetokounmpo, Johnny Juzang, Jericho Sims, Luke Travers",37500,3.6721377829162494
2,"Terrence Shannon Jr., Joan Beringer, Austin Reaves, Cam Christie, Pascal Siakam, Tristan Vukcevic, Jaylon Tyson, LaMelo Ball",42300,2.9123108887347358
3,"Jaylen Clark, Kawhi Leonard, AJ Johnson, Anthony Gill, Giannis Antetokounmpo, Johnny Juzang, Jericho Sims, Luke Travers",37500,3.6721377829162494
4,"Terrence Shannon Jr., Joan Beringer, Austin Reaves, Cam Christie, Pascal Siakam, Tristan Vukcevic, Jaylon Tyson, LaMelo Ball",42300,2.9123108887347358
5,"Jaylen Clark, Kawhi Leonard, AJ Johnson, Anthony Gill, Giannis Antetokounmpo, Johnny Juzang, Jericho Sims, Luke Travers",37500,3.6721377829162494
6,"Terrence Shannon Jr., Joan Beringer, Austin Reaves, Cam Christie, Pascal Siakam, Tristan Vukcevic, Jaylon Tyson, LaMelo Ball",42300,2.9123108887347358
7,"Jaylen Clark, Kawhi Leonard, AJ Johnson, Anthony Gill, Giannis Antetokounmpo, Johnny Juzang, Jericho Sims, Luke Travers",37500,3.6721377829162494
8,"Terrence Shannon Jr., Joan Beringer, Austin Reaves, Cam Christie, Pascal Siakam, Tristan Vukcevic, Jaylon Tyson, LaMelo Ball",42300,2.9123108887347358
9,"Jaylen Clark, Kawhi Leonard, AJ Johnson, Anthony Gill, Giannis Antetokounmpo, Johnny Juzang, Jericho Sims, Luke Travers",37500,3.6721377829162494
10,"Terrence Shannon Jr., Joan Beringer, Austin Reaves, Cam Christie, Pascal Siakam, Tristan Vukcevic, Jaylon Tyson, LaMelo Ball",42300,2.9123108887347358
11,"Jaylen Clark, Kawhi Leonard, AJ Johnson, Anthony Gill, Giannis Antetokounmpo, Johnny Juzang, Jericho Sims, Luke Travers",37500,3.6721377829162494
12,"Terrence Shannon Jr., Joan Beringer, Austin Reaves, Cam Christie, Pascal Siakam, Tristan Vukcevic, Jaylon Tyson, LaMelo Ball",42300,2.9123108887347358
13,"Jaylen Clark, Kawhi Leonard, AJ Johnson, Anthony Gill, Giannis Antetokounmpo, Johnny Juzang, Jericho Sims, Luke Travers",37500,3.6721377829162494
14,"Terrence Shannon Jr., Joan Beringer, Austin Reaves, Cam Christie, Pascal Siakam, Tristan Vukcevic, Jaylon Tyson, LaMelo Ball",42300,2.9123108887347358
