Lineup,Players,Salary,Score
1,"Spencer Jones, Branden Carlson, Julian Strawther, Zeke Nnaji, Shai Gilgeous-Alexander, Trayce Jackson-Davis, Ben Sheppard, Johnny Furphy",32900,3.754873554907607
2,"Quinten Post, Gary Payton II, Tim Hardaway Jr., Jimmy Butler, De'Anthony Melton, James Wiseman, Isaiah Joe, Bennedict Mathurin",33700,2.63536735560308
3,"Spencer Jones, Branden Carlson, Julian Strawther, Zeke Nnaji, Shai Gilgeous-Alexander, Trayce Jackson-Davis, Ben Sheppard, Johnny Furphy",32900,3.754873554907607
