Lineup,Players,Salary,Score
1,"Terrence Shannon Jr., Quinten Post, Bones Hyland, Jonathan Isaac, Pat Connaughton, Jett Howard, Johnny Juzang, Trayce Jackson-Davis",26700,4.1035814620872255
2,"Quinten Post, Goga Bitadze, Bones Hyland, Jonathan Isaac, Jett Howard, Johnny Juzang, Jaylen Clark, Trayce Jackson-Davis",26500,4.094874171977058
3,"Terrence Shannon Jr., Quinten Post, Jonathan Isaac, Jett Howard, Jase Richardson, Johnny Juzang, Jaylen Clark, Trayce Jackson-Davis",26300,4.09443531034554
4,"Quinten Post, Bones Hyland, Jonathan Isaac, Pat Connaughton, Jett Howard, Johnny Juzang, Jaylen Clark, Trayce Jackson-Davis",25700,4.1553567693275495
5,"Quinten Post, Goga Bitadze, Bones Hyland, Jonathan Isaac, Pat Connaughton, Jett Howard, Johnny Juzang, Trayce Jackson-Davis",26500,4.048333444984492
6,"Terrence Shannon Jr., Quinten Post, Bones Hyland, Jonathan Isaac, Jett Howard, Johnny Juzang, Jaylen Clark, Trayce Jackson-Davis",26700,4.150122189079792
7,"Quinten Post, Jonathan Isaac, Pat Connaughton, Jett Howard, Jase Richardson, Johnny Juzang, Jaylen Clark, Trayce Jackson-Davis",25300,4.099669890593297
8,"Moses Moody, Quinten Post, Jonathan Isaac, Jett Howard, Jase Richardson, Johnny Juzang, Jaylen Clark, Trayce Jackson-Davis",26400,4.057597357743617
9,"Quinten Post, Jonathan Isaac, Anthony Gill, Jett Howard, Jase Richardson, Johnny Juzang, Jaylen Clark, Trayce Jackson-Davis",25300,4.055299168266695
10,"Quinten Post, Bones Hyland, Jonathan Isaac, Anthony Gill, Jett Howard, Johnny Juzang, Jaylen Clark, Trayce Jackson-Davis",25700,4.110986047000947
11,"Moses Moody, Quinten Post, Bones Hyland, Jonathan Isaac, Jett Howard, Johnny Juzang, Jaylen Clark, Trayce Jackson-Davis",26800,4.1132842364778694
12,"Moses Moody, Quinten Post, Bones Hyland, Jonathan Isaac, Pat Connaughton, Jett Howard, Johnny Juzang, Trayce Jackson-Davis",26800,4.066743509485303
13,"Terrence Shannon Jr., Quinten Post, Bones Hyland, Jonathan Isaac, Pat Connaughton, Jett Howard, Jaylen Clark, Trayce Jackson-Davis",26700,4.099025266340598
14,"Quinten Post, Bones Hyland, Jonathan Isaac, Anthony Gill, Pat Connaughton, Jett Howard, Johnny Juzang, Trayce Jackson-Davis",25700,4.06444532000838
