Lineup,Players,Salary,Score
1,"Luka Doncic, Austin Reaves, Deandre Ayton, Draymond Green, Isaiah Hartenstein, Jabari Smith Jr., Alex Caruso, Luguentz Dort",49900,4.695275501076464
2,"Luka Doncic, Austin Reaves, Deandre Ayton, Draymond Green, Isaiah Hartenstein, Jabari Smith Jr., Alex Caruso, Steven Adams",49700,4.664927127032582
3,"Luka Doncic, Austin Reaves, Draymond Green, Isaiah Hartenstein, Jabari Smith Jr., Alex Caruso, Luguentz Dort, Steven Adams",47800,4.5846478639941
4,"Luka Doncic, Chet Holmgren, Austin Reaves, Draymond Green, Isaiah Hartenstein, Alex Caruso, Luguentz Dort, Ajay Mitchell",49800,4.566803495603054
5,"Luka Doncic, Austin Reaves, Deandre Ayton, Draymond Green, Isaiah Hartenstein, Jabari Smith Jr., Alex Caruso, Ajay Mitchell",49300,4.5886926776402746
6,"Luka Doncic, Austin Reaves, Brandin Podziemski, Draymond Green, Isaiah Hartenstein, Jabari Smith Jr., Alex Caruso, Steven Adams",50000,4.545861973860139
7,"Luka Doncic, Austin Reaves, Deandre Ayton, Draymond Green, Isaiah Hartenstein, Aaron Wiggins, Alex Caruso, Luguentz Dort",49700,4.570645004254791
8,"Luka Doncic, Austin Reaves, Draymond Green, Rui Hachimura, Isaiah Hartenstein, Jabari Smith Jr., Alex Caruso, Steven Adams",49000,4.536146805945999
9,"Luka Doncic, Austin Reaves, Draymond Green, Rui Hachimura, Isaiah Hartenstein, Jabari Smith Jr., Alex Caruso, Luguentz Dort",49200,4.566495179989881
10,"Luka Doncic, Austin Reaves, Draymond Green, Isaiah Hartenstein, Jabari Smith Jr., Aaron Wiggins, Luguentz Dort, Steven Adams",48200,4.553162044908152
11,"Luka Doncic, Austin Reaves, Draymond Green, Rui Hachimura, Isaiah Hartenstein, Jabari Smith Jr., Aaron Wiggins, Steven Adams",49400,4.504660986860052
12,"Luka Doncic, Austin Reaves, Deandre Ayton, Draymond Green, Isaiah Hartenstein, Jabari Smith Jr., Aaron Wiggins, Ajay Mitchell",49700,4.557206858554327
13,"Luka Doncic, Austin Reaves, Deandre Ayton, Draymond Green, Isaiah Hartenstein, Alex Caruso, Luguentz Dort, Steven Adams",48900,4.59769873320063
14,"Luka Doncic, Alperen Sengun, Draymond Green, Isaiah Hartenstein, Jabari Smith Jr., Alex Caruso, Luguentz Dort, Steven Adams",49700,4.483818694551088
15,"Luka Doncic, Austin Reaves, Draymond Green, Rui Hachimura, Isaiah Hartenstein, Jabari Smith Jr., Luguentz Dort, Steven Adams",48800,4.562063089849772
16,"Luka Doncic, Austin Reaves, Deandre Ayton, Draymond Green, Rui Hachimura, Isaiah Hartenstein, Luguentz Dort, Steven Adams",49900,4.575113959056303
17,"Luka Doncic, Austin Reaves, Draymond Green, Isaiah Hartenstein, Jabari Smith Jr., Aaron Wiggins, Alex Caruso, Steven Adams",48400,4.527245761004378
18,"Luka Doncic, Austin Reaves, Jonathan Kuminga, Draymond Green, Isaiah Hartenstein, Jabari Smith Jr., Alex Caruso, Luguentz Dort",49500,4.541860772522965
19,"Luka Doncic, Austin Reaves, Draymond Green, Rui Hachimura, Isaiah Hartenstein, Tari Eason, Jabari Smith Jr., Luguentz Dort",49900,4.491384434984557
20,"Luka Doncic, Austin Reaves, Deandre Ayton, Draymond Green, Isaiah Hartenstein, Aaron Wiggins, Luguentz Dort, Steven Adams",49300,4.566212914114683
21,"Luka Doncic, Austin Reaves, Deandre Ayton, Draymond Green, Isaiah Hartenstein, Tari Eason, Alex Caruso, Luguentz Dort",50000,4.527020078335415
22,"Luka Doncic, Austin Reaves, Draymond Green, Isaiah Hartenstein, Tari Eason, Jabari Smith Jr., Alex Caruso, Steven Adams",48700,4.483620835085001
23,"Luka Doncic, Austin Reaves, Deandre Ayton, Draymond Green, Isaiah Hartenstein, Tari Eason, Jabari Smith Jr., Ajay Mitchell",50000,4.513581932634949
24,"Luka Doncic, Austin Reaves, Draymond Green, Isaiah Hartenstein, Jabari Smith Jr., Aaron Wiggins, Alex Caruso, Luguentz Dort",48600,4.5575941350482605
25,"Luka Doncic, Austin Reaves, Draymond Green, Isaiah Hartenstein, Jabari Smith Jr., Alex Caruso, Luguentz Dort, Ajay Mitchell",47400,4.508413414601791
26,"Luka Doncic, Chet Holmgren, Austin Reaves, Draymond Green, Isaiah Hartenstein, Jabari Smith Jr., Steven Adams, Jake LaRavia",50000,4.514836308210127
27,"Luka Doncic, Chet Holmgren, Austin Reaves, Draymond Green, Isaiah Hartenstein, Aaron Wiggins, Steven Adams, Ajay Mitchell",50000,4.504969302473224
28,"Luka Doncic, Austin Reaves, Jonathan Kuminga, Draymond Green, Isaiah Hartenstein, Jabari Smith Jr., Alex Caruso, Steven Adams",49300,4.511512398479083
29,"Luka Doncic, Austin Reaves, Deandre Ayton, Draymond Green, Isaiah Hartenstein, Aaron Wiggins, Alex Caruso, Steven Adams",49500,4.540296630210909
30,"Luka Doncic, Austin Reaves, Deandre Ayton, Draymond Green, Isaiah Hartenstein, Tari Eason, Luguentz Dort, Steven Adams",49600,4.522587988195306
